id_cliente,idade,tempo_casa_meses,tipo_contrato,mensalidade,internet_fibra,suporte_tecnico,reclamacoes_6m,churn
111,20,20,Anual,56.31,Nao,Nao,1,0
112,67,57,Anual,65.19,Nao,Sim,0,0
113,76,41,Mensal,67.73,Nao,Sim,3,0
114,48,34,Anual,49.23,Nao,Nao,2,0
115,51,37,Mensal,20.0,Nao,Nao,1,0
116,75,41,Mensal,55.98,Nao,Nao,2,0
117,49,3,Mensal,79.0,Sim,Nao,1,1
118,56,11,Anual,73.41,Sim,Nao,4,1
119,44,18,Anual,99.99,Sim,Sim,0,0
120,49,9,Mensal,118.89,Sim,Nao,2,1
121,50,32,Mensal,88.98,Sim,Sim,1,0
122,62,49,Anual,104.56,Nao,Nao,0,0
123,55,48,Mensal,89.17,Nao,Nao,3,1
124,49,34,Mensal,112.75,Nao,Sim,1,1
125,22,62,Mensal,116.27,Nao,Nao,1,0
126,74,41,Bianual,93.78,Sim,Nao,1,0
127,73,6,Mensal,87.66,Sim,Nao,0,0
128,29,56,Anual,64.87,Nao,Sim,1,0
129,36,42,Bianual,68.97,Nao,Sim,1,0
130,78,46,Mensal,61.55,Nao,Nao,1,0
131,37,41,Bianual,85.53,Nao,Nao,2,1
132,68,40,Mensal,51.99,Sim,Nao,3,1
133,66,7,Mensal,65.22,Nao,Sim,3,0
134,71,41,Mensal,20.0,Nao,Nao,0,0
135,18,58,Anual,113.08,Sim,Sim,2,0
136,47,22,Bianual,64.49,Nao,Sim,2,0
137,53,44,Anual,81.39,Sim,Nao,1,1
138,69,3,Anual,106.44,Sim,Nao,2,1
139,31,26,Mensal,77.51,Sim,Nao,1,0
140,37,32,Bianual,106.11,Nao,Nao,1,1
141,29,71,Mensal,38.96,Nao,Sim,0,0
142,65,16,Mensal,129.93,Nao,Nao,1,1
143,79,20,Bianual,97.18,Nao,Sim,0,0
144,26,30,Mensal,75.23,Sim,Nao,1,1
145,32,72,Mensal,105.63,Nao,Sim,0,0
146,37,62,Mensal,40.78,Sim,Nao,1,0
147,73,3,Mensal,62.78,Nao,Nao,1,1
148,45,17,Anual,106.11,Sim,Nao,1,1
149,35,60,Mensal,23.32,Nao,Sim,1,0
150,37,5,Bianual,84.01,Nao,Nao,0,0
151,55,62,Mensal,83.3,Sim,Nao,1,0
152,41,21,Anual,119.23,Nao,Sim,3,0
153,26,67,Anual,30.43,Nao,Nao,1,0
154,68,22,Anual,110.24,Sim,Nao,2,0
155,44,32,Mensal,56.01,Sim,Nao,2,1
156,33,48,Anual,58.82,Nao,Nao,2,0
157,63,10,Anual,39.45,Sim,Nao,0,0
158,64,41,Bianual,42.8,Sim,Nao,0,0
159,27,37,Mensal,80.09,Nao,Sim,2,0
160,22,57,Mensal,42.19,Nao,Nao,2,0
161,20,72,Anual,88.51,Sim,Nao,1,1
162,65,48,Mensal,53.43,Nao,Nao,0,0
163,56,30,Mensal,39.67,Nao,Nao,0,1
164,67,30,Bianual,56.8,Nao,Nao,2,0
165,56,31,Mensal,78.42,Nao,Sim,1,0
166,42,59,Mensal,63.07,Sim,Nao,0,0
167,54,24,Anual,70.86,Sim,Sim,3,0
168,62,13,Mensal,87.41,Nao,Nao,0,0
169,42,25,Mensal,97.06,Nao,Nao,1,1
170,74,2,Mensal,62.25,Nao,Nao,0,0
171,73,8,Mensal,43.89,Nao,Nao,2,0
172,67,7,Mensal,71.9,Sim,Nao,1,1
173,79,56,Anual,81.77,Nao,Nao,1,0
174,42,53,Mensal,33.48,Sim,Nao,3,0
175,25,51,Mensal,47.73,Nao,Sim,2,0
176,48,34,Anual,52.02,Nao,Nao,0,0
177,64,52,Mensal,64.8,Nao,Sim,2,0
178,66,12,Mensal,50.97,Nao,Nao,2,1
179,42,65,Mensal,87.68,Nao,Nao,2,0
180,36,37,Mensal,29.87,Sim,Nao,2,0
181,45,68,Mensal,30.51,Sim,Nao,1,0
182,67,11,Mensal,61.65,Sim,Nao,2,0
183,21,36,Bianual,65.61,Sim,Nao,0,0
184,38,51,Bianual,33.63,Sim,Nao,1,0
185,32,36,Bianual,54.83,Sim,Sim,4,0
186,67,33,Mensal,59.97,Nao,Sim,2,0
187,47,12,Anual,60.17,Sim,Nao,0,1
188,23,28,Anual,73.8,Nao,Nao,0,0
189,34,18,Mensal,53.46,Nao,Nao,4,1
190,20,22,Bianual,106.95,Sim,Sim,2,0
191,47,50,Anual,82.21,Sim,Sim,1,1
192,79,46,Mensal,49.82,Sim,Nao,0,0
193,53,44,Bianual,72.36,Sim,Nao,0,0
194,71,27,Mensal,73.1,Nao,Sim,0,0
195,64,70,Mensal,100.37,Nao,Sim,3,0
196,72,7,Mensal,54.99,Sim,Sim,1,0
197,37,25,Mensal,89.18,Sim,Nao,1,0
198,76,9,Bianual,71.05,Sim,Nao,4,1
199,32,25,Anual,107.29,Sim,Nao,1,1
200,45,70,Mensal,102.27,Nao,Nao,1,0
201,60,27,Anual,74.92,Nao,Nao,4,0
202,35,66,Bianual,63.44,Nao,Sim,0,0
203,34,36,Bianual,82.67,Nao,Sim,1,0
204,26,51,Bianual,65.49,Nao,Nao,2,0
205,18,33,Bianual,112.01,Sim,Nao,0,0
206,49,20,Anual,71.96,Nao,Nao,0,0
207,79,56,Mensal,59.86,Nao,Nao,1,0
208,31,70,Bianual,58.51,Sim,Nao,1,0
209,45,19,Mensal,39.67,Nao,Sim,2,1
210,76,57,Mensal,83.91,Nao,Nao,1,1
211,65,19,Mensal,49.5,Sim,Nao,0,0
212,18,52,Mensal,97.45,Nao,Nao,1,0
213,49,57,Anual,37.68,Sim,Sim,3,0
214,26,33,Bianual,73.18,Sim,Nao,2,0
215,33,54,Mensal,98.76,Sim,Nao,4,0
216,33,20,Anual,20.0,Nao,Nao,3,1
217,55,6,Mensal,120.46,Nao,Nao,1,0
218,30,7,Anual,59.37,Nao,Sim,0,0
219,33,33,Mensal,73.53,Nao,Sim,3,1
220,31,65,Mensal,84.29,Sim,Sim,2,0
221,40,10,Anual,88.15,Nao,Sim,3,0
222,58,33,Mensal,76.85,Sim,Nao,0,0
223,42,51,Mensal,94.93,Nao,Nao,1,0
224,38,15,Mensal,82.98,Nao,Nao,2,1
225,50,52,Mensal,114.02,Sim,Sim,0,0
226,56,23,Anual,83.06,Nao,Sim,2,1
227,18,59,Mensal,119.12,Sim,Nao,3,1
228,73,42,Mensal,92.53,Nao,Sim,1,0
229,74,40,Bianual,24.86,Nao,Sim,2,0
230,55,13,Anual,135.28,Nao,Sim,1,1
231,53,34,Mensal,55.64,Nao,Sim,1,0
232,61,62,Anual,107.39,Sim,Sim,1,0
233,45,2,Mensal,70.67,Nao,Sim,2,1
234,40,55,Mensal,96.53,Nao,Nao,1,1
235,39,36,Anual,52.79,Nao,Sim,0,0
236,27,52,Mensal,85.64,Nao,Nao,0,0
237,70,48,Mensal,63.67,Sim,Nao,0,0
238,37,32,Bianual,109.48,Nao,Nao,2,0
239,35,23,Anual,80.97,Sim,Nao,1,0
240,77,46,Bianual,93.4,Nao,Sim,3,0
241,49,11,Bianual,20.0,Sim,Sim,1,0
242,56,43,Mensal,67.86,Nao,Nao,1,1
243,33,7,Anual,80.26,Nao,Nao,2,0
244,35,47,Mensal,75.59,Nao,Nao,2,0
245,63,46,Anual,94.03,Nao,Nao,0,0
246,45,7,Mensal,60.85,Nao,Nao,1,0
247,27,55,Mensal,71.22,Nao,Nao,1,0
248,69,30,Mensal,99.53,Sim,Nao,0,0
249,42,57,Anual,20.0,Nao,Nao,2,0
250,59,3,Mensal,84.73,Nao,Nao,0,0
251,39,13,Anual,61.65,Sim,Nao,0,0
252,52,36,Bianual,47.19,Nao,Nao,0,0
253,66,14,Anual,78.41,Sim,Nao,0,0
254,72,24,Mensal,100.69,Nao,Nao,2,1
255,30,48,Mensal,95.98,Nao,Nao,0,0
256,59,11,Bianual,66.62,Nao,Nao,0,0
257,74,49,Anual,91.89,Sim,Nao,1,1
258,57,8,Mensal,91.7,Sim,Sim,1,0
259,26,13,Bianual,67.82,Nao,Nao,1,0
260,29,43,Mensal,52.67,Nao,Sim,1,0
261,30,58,Mensal,54.12,Sim,Nao,1,0
262,24,13,Mensal,90.95,Nao,Sim,2,0
263,64,22,Mensal,68.95,Nao,Nao,2,1
264,77,67,Mensal,43.85,Nao,Nao,2,0
265,50,72,Anual,27.88,Sim,Sim,1,0
266,55,42,Mensal,90.8,Sim,Nao,2,0
267,65,33,Anual,56.33,Nao,Nao,1,0
268,43,25,Anual,78.26,Nao,Sim,3,0
269,47,45,Bianual,100.99,Nao,Sim,2,0
270,54,43,Mensal,37.28,Sim,Sim,3,1
271,36,22,Anual,68.87,Nao,Nao,1,0
272,21,2,Mensal,65.73,Nao,Nao,2,1
273,53,11,Anual,79.49,Sim,Sim,0,0
274,68,70,Mensal,100.98,Nao,Sim,0,0
275,22,31,Anual,36.76,Nao,Nao,0,0
276,31,35,Mensal,84.24,Nao,Sim,1,0
277,34,34,Anual,95.79,Sim,Nao,0,0
278,67,57,Mensal,65.34,Nao,Sim,1,0
279,49,5,Mensal,66.56,Nao,Nao,1,1
280,51,6,Anual,80.46,Sim,Nao,1,0
281,58,20,Mensal,78.62,Nao,Nao,3,1
282,35,36,Anual,84.56,Sim,Sim,0,0
283,62,49,Anual,84.03,Sim,Nao,3,0
284,19,36,Anual,45.45,Nao,Nao,4,0
285,25,32,Anual,94.76,Nao,Nao,0,0
286,68,68,Anual,99.17,Sim,Sim,2,0
287,58,12,Bianual,74.65,Sim,Sim,0,0
288,28,42,Mensal,32.65,Sim,Nao,1,0
289,45,40,Anual,67.13,Sim,Nao,2,1
290,21,35,Anual,74.86,Sim,Nao,1,0
291,59,59,Mensal,41.38,Sim,Nao,2,0
292,64,20,Mensal,61.0,Nao,Nao,0,1
293,35,69,Mensal,34.77,Sim,Nao,1,0
294,39,24,Anual,85.18,Nao,Nao,1,0
295,32,40,Mensal,74.15,Sim,Sim,0,0
296,42,38,Anual,28.86,Nao,Sim,0,0
297,34,62,Anual,78.79,Sim,Nao,2,0
298,33,32,Anual,68.59,Sim,Sim,1,0
299,44,21,Mensal,82.91,Nao,Nao,3,1
300,71,2,Anual,60.21,Sim,Sim,2,0
301,65,27,Anual,49.96,Sim,Sim,1,0
302,36,60,Mensal,50.73,Sim,Nao,0,0
303,76,1,Mensal,56.55,Nao,Nao,2,1
304,31,65,Mensal,70.47,Sim,Nao,2,0
305,74,40,Bianual,73.7,Sim,Sim,3,0
306,37,11,Mensal,65.23,Sim,Sim,1,1
307,51,22,Mensal,59.42,Nao,Nao,1,0
308,30,40,Mensal,61.21,Nao,Nao,1,1
309,65,23,Mensal,132.69,Sim,Sim,1,0
310,37,8,Mensal,50.73,Sim,Nao,0,1
311,72,48,Anual,56.05,Nao,Sim,1,0
312,23,49,Mensal,150.0,Nao,Nao,1,1
313,49,9,Anual,80.53,Sim,Sim,5,0
314,27,21,Mensal,35.5,Nao,Nao,0,0
315,73,18,Mensal,91.07,Nao,Sim,2,1
316,43,48,Anual,47.25,Sim,Nao,2,0
317,59,53,Anual,92.73,Nao,Nao,2,0
318,72,53,Bianual,64.73,Nao,Sim,1,0
319,51,68,Mensal,59.01,Sim,Sim,2,0
320,21,56,Mensal,110.23,Sim,Nao,2,0
321,31,24,Anual,84.16,Sim,Nao,0,1
322,31,8,Mensal,94.32,Sim,Nao,1,1
323,74,45,Anual,80.87,Nao,Nao,0,0
324,74,66,Mensal,58.89,Nao,Sim,3,0
325,47,71,Mensal,85.28,Nao,Nao,0,0
326,73,17,Anual,100.23,Nao,Sim,2,1
327,33,18,Anual,73.37,Sim,Nao,0,0
328,60,3,Bianual,115.04,Sim,Nao,1,1
329,42,11,Bianual,91.26,Nao,Nao,1,0
330,32,40,Mensal,75.3,Sim,Sim,3,1
331,33,40,Anual,76.29,Sim,Sim,1,0
332,44,27,Bianual,73.43,Nao,Nao,0,0
333,39,23,Mensal,38.72,Nao,Sim,2,0
334,31,60,Mensal,67.75,Sim,Nao,0,0
335,38,34,Bianual,75.53,Nao,Nao,1,0
336,25,59,Mensal,59.6,Sim,Sim,2,0
337,78,70,Bianual,78.44,Nao,Nao,3,0
338,41,23,Mensal,70.53,Nao,Nao,2,1
339,24,15,Bianual,89.34,Nao,Nao,0,0
340,53,69,Anual,86.58,Sim,Sim,0,0
341,72,46,Anual,74.18,Nao,Sim,1,0
342,40,21,Anual,35.82,Sim,Sim,1,0
343,70,45,Mensal,114.77,Nao,Nao,2,0
344,55,38,Anual,66.45,Nao,Nao,2,0
345,63,66,Bianual,67.98,Sim,Nao,1,0
346,36,19,Bianual,61.44,Nao,Nao,1,0
347,20,72,Bianual,57.79,Sim,Nao,4,0
348,39,68,Anual,108.6,Nao,Nao,3,0
349,75,14,Anual,104.65,Nao,Sim,0,1
350,67,12,Anual,81.11,Nao,Nao,4,0
351,66,39,Anual,67.31,Nao,Nao,1,0
352,72,4,Anual,85.48,Nao,Nao,0,0
353,41,22,Mensal,71.84,Nao,Nao,1,1
354,37,32,Mensal,65.24,Nao,Sim,1,0
355,75,70,Anual,78.45,Sim,Nao,3,1
356,53,72,Mensal,58.97,Nao,Nao,3,1
357,36,11,Mensal,76.31,Sim,Nao,1,1
358,35,65,Mensal,75.11,Sim,Nao,0,0
359,72,7,Anual,85.07,Sim,Nao,0,1
360,21,54,Bianual,54.52,Sim,Nao,1,1
361,21,61,Anual,87.75,Nao,Nao,1,0
362,63,65,Bianual,47.34,Sim,Nao,1,0
363,18,17,Bianual,55.69,Nao,Nao,4,0
364,28,65,Mensal,56.78,Sim,Nao,0,0
365,79,9,Mensal,43.2,Sim,Nao,2,1
366,44,38,Mensal,95.39,Nao,Nao,0,0
367,63,34,Mensal,45.77,Nao,Sim,2,0
368,48,23,Anual,52.53,Sim,Nao,3,1
369,23,2,Mensal,101.39,Nao,Sim,1,1
370,29,56,Bianual,55.74,Nao,Nao,1,0
371,65,25,Anual,65.3,Sim,Sim,0,0
372,23,48,Mensal,44.7,Sim,Sim,0,1
373,54,30,Bianual,90.82,Nao,Sim,1,0
374,39,27,Bianual,91.17,Sim,Sim,0,0
375,40,64,Anual,88.47,Sim,Sim,1,0
376,77,7,Anual,83.44,Sim,Nao,0,1
377,55,54,Bianual,71.84,Sim,Sim,3,0
378,56,54,Anual,56.89,Nao,Sim,1,0
379,39,28,Bianual,49.63,Nao,Sim,3,0
380,41,19,Mensal,102.25,Nao,Sim,0,0
381,60,1,Anual,89.12,Nao,Sim,2,0
382,20,68,Mensal,52.67,Nao,Nao,1,0
383,32,69,Mensal,71.0,Nao,Nao,1,1
384,55,18,Mensal,62.5,Nao,Sim,0,0
385,56,3,Mensal,41.79,Nao,Nao,1,1
386,23,9,Mensal,74.44,Sim,Sim,1,0
387,66,5,Mensal,59.61,Sim,Nao,2,0
388,51,60,Mensal,46.19,Nao,Nao,1,0
389,32,65,Anual,33.02,Nao,Sim,1,0
390,64,12,Anual,30.9,Sim,Sim,1,0
391,79,54,Anual,60.71,Sim,Nao,0,0
392,44,13,Mensal,67.87,Nao,Sim,1,0
393,35,27,Anual,48.12,Nao,Sim,3,0
394,36,44,Mensal,86.27,Nao,Nao,2,0
395,54,52,Mensal,68.36,Nao,Nao,1,0
396,20,63,Mensal,84.42,Nao,Sim,1,0
397,47,4,Bianual,65.43,Nao,Nao,4,0
398,19,15,Bianual,50.32,Nao,Sim,1,0
399,20,21,Anual,72.85,Sim,Sim,1,0
400,44,23,Anual,38.43,Sim,Nao,2,0
401,64,72,Mensal,83.49,Sim,Nao,1,0
402,72,56,Anual,46.57,Nao,Nao,1,0
403,23,24,Mensal,92.96,Nao,Nao,3,0
404,33,70,Mensal,61.54,Sim,Nao,0,0
405,44,36,Bianual,96.56,Nao,Nao,1,0
406,53,37,Bianual,41.93,Nao,Nao,0,0
407,79,32,Mensal,53.06,Sim,Nao,2,1
408,60,11,Mensal,79.52,Sim,Nao,3,1
409,51,68,Mensal,99.26,Nao,Sim,3,0
410,21,2,Mensal,111.67,Sim,Nao,2,1
411,23,13,Mensal,71.03,Nao,Sim,2,0
412,27,17,Anual,115.94,Nao,Nao,0,0
413,58,21,Mensal,62.76,Nao,Nao,0,0
414,38,10,Mensal,97.47,Nao,Nao,1,0
415,32,2,Mensal,46.45,Nao,Sim,1,0
416,59,49,Anual,80.51,Nao,Nao,0,0
417,68,70,Mensal,20.0,Sim,Nao,2,0
418,45,9,Mensal,41.96,Sim,Nao,0,0
419,72,22,Anual,81.67,Sim,Nao,0,0
420,63,37,Anual,37.19,Nao,Sim,1,0
421,62,67,Mensal,80.67,Nao,Sim,2,0
422,71,50,Anual,92.66,Nao,Nao,1,0
423,29,56,Mensal,57.47,Sim,Sim,0,0
424,65,42,Anual,45.78,Nao,Nao,1,0
425,77,31,Mensal,58.15,Nao,Nao,1,1
426,79,15,Bianual,45.85,Nao,Nao,1,0
427,53,63,Bianual,67.47,Nao,Sim,3,0
428,64,58,Anual,72.55,Nao,Sim,2,0
429,73,2,Bianual,62.35,Nao,Nao,2,0
430,70,52,Mensal,111.86,Sim,Nao,2,0
431,73,7,Anual,52.01,Nao,Sim,2,0
432,69,54,Mensal,104.79,Sim,Nao,2,1
433,41,60,Mensal,43.97,Sim,Nao,0,0
434,63,10,Mensal,71.82,Nao,Nao,2,0
435,43,32,Anual,99.58,Sim,Nao,1,0
436,67,9,Anual,98.28,Sim,Sim,1,0
437,68,41,Bianual,59.49,Nao,Sim,1,0
438,75,67,Anual,83.88,Nao,Nao,2,0
439,54,6,Bianual,80.53,Sim,Sim,1,0
440,47,29,Bianual,56.5,Sim,Nao,2,0
441,28,71,Anual,85.4,Nao,Nao,1,0
442,57,22,Mensal,116.56,Nao,Nao,0,1
443,53,10,Mensal,81.79,Nao,Nao,2,1
444,49,36,Anual,84.16,Nao,Nao,1,0
445,59,37,Bianual,86.8,Nao,Nao,0,0
446,70,48,Mensal,33.48,Sim,Sim,2,1
447,27,23,Mensal,81.51,Nao,Sim,5,1
448,44,69,Mensal,44.58,Sim,Nao,2,0
449,62,38,Mensal,55.25,Sim,Sim,0,0
450,68,21,Anual,124.05,Nao,Nao,0,0
451,66,70,Mensal,63.67,Nao,Sim,2,0
452,67,67,Mensal,51.5,Sim,Sim,2,0
453,71,36,Anual,98.81,Sim,Nao,1,0
454,77,2,Mensal,46.31,Nao,Nao,0,1
455,55,43,Mensal,58.81,Sim,Sim,2,0
456,33,40,Anual,101.23,Nao,Nao,1,1
457,52,11,Mensal,71.07,Sim,Sim,3,1
458,61,46,Bianual,30.96,Sim,Sim,1,0
459,24,61,Anual,83.6,Sim,Nao,1,0
460,64,8,Bianual,60.09,Nao,Nao,1,0
461,51,53,Mensal,108.5,Sim,Nao,0,0
462,76,11,Anual,54.85,Sim,Nao,3,0
463,31,54,Anual,96.28,Nao,Nao,1,0
464,74,31,Anual,114.39,Sim,Nao,1,0
465,45,1,Mensal,48.73,Nao,Sim,1,0
466,53,70,Mensal,65.17,Sim,Sim,1,0
467,58,12,Mensal,79.72,Nao,Sim,2,1
468,53,43,Anual,48.57,Sim,Nao,1,0
469,74,14,Anual,76.76,Nao,Nao,2,0
470,28,68,Mensal,64.38,Nao,Sim,2,0
471,63,54,Anual,63.87,Nao,Sim,1,0
472,78,58,Anual,71.22,Nao,Sim,0,0
473,31,32,Anual,71.78,Sim,Nao,0,0
474,33,34,Mensal,74.1,Sim,Nao,2,1
475,47,46,Bianual,55.03,Sim,Nao,0,0
476,62,57,Anual,56.12,Nao,Nao,2,0
477,77,61,Anual,67.04,Sim,Sim,4,0
478,67,2,Anual,68.88,Nao,Nao,0,1
479,67,48,Anual,59.03,Nao,Nao,1,0
480,45,8,Mensal,78.1,Sim,Sim,0,0
481,58,21,Bianual,24.63,Sim,Nao,1,0
482,31,60,Mensal,51.74,Nao,Nao,1,0
483,46,19,Anual,63.0,Sim,Sim,2,1
484,29,58,Bianual,48.6,Sim,Nao,1,0
485,19,34,Anual,110.73,Sim,Nao,3,0
486,71,17,Anual,70.47,Nao,Nao,0,0
487,67,25,Mensal,74.42,Nao,Nao,0,1
488,49,39,Mensal,57.92,Sim,Sim,1,0
489,18,56,Anual,69.61,Sim,Nao,2,0
490,23,44,Mensal,39.62,Nao,Sim,0,0
491,24,68,Mensal,65.75,Sim,Sim,1,0
492,62,63,Bianual,46.57,Nao,Sim,1,0
493,30,55,Mensal,63.06,Nao,Nao,1,0
494,33,44,Mensal,20.0,Nao,Nao,1,0
495,71,21,Mensal,41.8,Nao,Nao,2,1
496,72,30,Anual,106.6,Nao,Nao,2,1
497,65,9,Mensal,90.76,Nao,Nao,3,0
498,37,27,Anual,102.98,Nao,Nao,1,0
499,53,67,Mensal,104.69,Sim,Nao,0,0
500,30,31,Mensal,86.82,Nao,Sim,1,0
501,71,9,Mensal,58.68,Nao,Sim,0,1
502,23,47,Mensal,44.07,Nao,Nao,1,0
503,64,70,Anual,98.67,Nao,Nao,2,0
504,49,63,Mensal,71.61,Sim,Sim,1,0
505,64,20,Mensal,132.35,Sim,Nao,2,1
506,45,33,Mensal,60.87,Sim,Sim,0,0
507,27,39,Mensal,119.32,Sim,Nao,2,0
508,64,18,Mensal,66.08,Nao,Sim,0,0
509,57,20,Mensal,103.4,Nao,Sim,1,1
510,46,18,Bianual,112.42,Nao,Sim,3,0
511,41,72,Mensal,44.43,Nao,Nao,0,0
512,39,54,Anual,57.88,Nao,Nao,2,0
513,47,61,Anual,44.18,Sim,Sim,1,0
514,34,59,Mensal,39.25,Nao,Sim,3,1
515,35,70,Anual,86.68,Sim,Nao,2,0
516,35,8,Bianual,65.08,Nao,Sim,1,1
517,18,64,Anual,71.31,Nao,Nao,1,0
518,75,5,Bianual,83.91,Sim,Nao,0,0
519,32,35,Anual,23.57,Sim,Nao,1,0
520,28,43,Mensal,102.17,Nao,Sim,0,0
